business_date,close_price,high_price,low_price,total_traded_quantity,total_traded_value,total_trades,day,month,weekday,volume_class,anomaly_label,year,year_month,week,prev_total_trades,avg_traded_qty_3
2025-02-27,1525.0,1545.5,1490.0,46797,71108794.4,589,27,2,3,1,0,2025,2025-02,9,709.0,51976.666666666664
2025-02-25,1489.0,1531.0,1483.0,35380,53139678.9,491,25,2,1,1,0,2025,2025-02,9,589.0,48416.0
2025-02-24,1520.0,1557.5,1505.8,70092,107617179.5,695,24,2,0,1,0,2025,2025-02,9,491.0,50756.333333333336
2025-02-23,1527.0,1558.9,1465.0,78937,119826132.4,767,23,2,6,1,0,2025,2025-02,8,695.0,61469.666666666664
2025-02-20,1507.0,1549.0,1491.1,52605,79949152.5,564,20,2,3,1,0,2025,2025-02,8,767.0,67211.33333333333
2025-02-18,1521.0,1560.0,1459.0,86272,130199706.3,1038,18,2,1,1,0,2025,2025-02,8,564.0,72604.66666666667
2025-02-17,1459.0,1470.0,1445.0,33922,49504680.2,444,17,2,0,1,0,2025,2025-02,8,1038.0,57599.666666666664
2025-02-16,1445.0,1465.9,1441.0,33870,49135170.6,445,16,2,6,1,0,2025,2025-02,7,444.0,51354.666666666664
2025-02-13,1441.0,1490.0,1426.0,41746,60738065.6,390,13,2,3,1,0,2025,2025-02,7,445.0,36512.666666666664
2025-02-12,1455.0,1489.0,1406.0,71366,103801778.5,781,12,2,2,1,0,2025,2025-02,7,390.0,48994.0
2025-02-11,1406.0,1417.0,1371.0,26992,37888221.7,294,11,2,1,0,0,2025,2025-02,7,781.0,46701.333333333336
2025-02-10,1380.1,1415.0,1380.1,30188,42137424.6,338,10,2,0,0,0,2025,2025-02,7,294.0,42848.666666666664
2025-02-09,1402.0,1435.0,1400.0,48311,68116468.2,419,9,2,6,1,0,2025,2025-02,6,338.0,35163.666666666664
2025-02-06,1415.0,1456.3,1405.1,31714,45018999.4,293,6,2,3,0,0,2025,2025-02,6,419.0,36737.666666666664
2025-02-05,1429.0,1436.0,1415.0,29335,41827491.9,294,5,2,2,0,0,2025,2025-02,6,293.0,36453.333333333336
2025-02-04,1431.0,1460.0,1430.0,41145,59369544.1,327,4,2,1,1,0,2025,2025-02,6,294.0,34064.666666666664
2025-02-03,1436.9,1488.0,1430.0,38268,55529682.7,415,3,2,0,1,0,2025,2025-02,6,327.0,36249.333333333336
2025-02-02,1468.0,1474.0,1420.0,63886,93104462.3,684,2,2,6,1,0,2025,2025-02,5,415.0,47766.333333333336
2025-01-28,1415.0,1438.0,1400.0,48835,68689103.6,302,28,1,1,1,0,2025,2025-01,5,684.0,50329.666666666664
2025-01-27,1415.0,1428.0,1380.0,54452,76666540.7,477,27,1,0,1,0,2025,2025-01,5,302.0,55724.333333333336
2025-01-26,1390.0,1410.0,1376.1,38675,54001325.6,377,26,1,6,1,0,2025,2025-01,4,477.0,47320.666666666664
2025-01-23,1384.9,1427.8,1375.2,31725,44329291.4,305,23,1,3,0,0,2025,2025-01,4,377.0,41617.333333333336
2025-01-22,1403.2,1420.0,1370.0,57298,80371030.3,585,22,1,2,1,0,2025,2025-01,4,305.0,42566.0
2025-01-21,1365.0,1381.0,1303.4,43608,59538808.7,447,21,1,1,1,0,2025,2025-01,4,585.0,44210.333333333336
2025-01-20,1330.0,1348.0,1316.0,19079,25328480.6,226,20,1,0,0,0,2025,2025-01,4,447.0,39995.0
2025-01-19,1322.9,1340.0,1314.5,7453,9866886.9,153,19,1,6,0,0,2025,2025-01,3,226.0,23380.0
2025-01-16,1322.2,1360.0,1322.1,18819,25102078.7,210,16,1,3,0,0,2025,2025-01,3,153.0,15117.0
2025-01-15,1345.0,1380.0,1339.9,19702,26716519.9,239,15,1,2,0,0,2025,2025-01,3,210.0,15324.666666666666
2025-01-13,1339.9,1355.0,1316.0,14143,18886078.6,218,13,1,0,0,0,2025,2025-01,3,239.0,17554.666666666668
2025-01-12,1359.0,1359.0,1330.0,13728,18353184.0,184,12,1,6,0,0,2025,2025-01,2,218.0,15857.666666666666
2025-01-09,1354.3,1380.0,1345.0,17455,23626643.1,228,9,1,3,0,0,2025,2025-01,2,184.0,15108.666666666666
2025-01-08,1369.9,1380.0,1353.0,13100,17923003.7,219,8,1,2,0,0,2025,2025-01,2,228.0,14761.0
2025-01-07,1368.9,1404.0,1350.0,17362,23696128.7,291,7,1,1,0,0,2025,2025-01,2,219.0,15972.333333333334
2025-01-06,1377.0,1377.0,1301.0,31959,43067276.9,412,6,1,0,0,0,2025,2025-01,2,291.0,20807.0
2025-01-05,1316.0,1330.0,1301.5,10242,13388500.9,268,5,1,6,0,0,2025,2025-01,1,412.0,19854.333333333332
2025-01-02,1319.0,1328.0,1307.0,12768,16815287.7,134,2,1,3,0,0,2025,2025-01,1,268.0,18323.0
2025-01-01,1323.0,1344.9,1301.5,6607,8703391.4,115,1,1,2,0,0,2025,2025-01,1,134.0,9872.333333333334
2024-12-31,1320.0,1355.0,1300.0,15680,20647338.1,232,31,12,1,0,0,2024,2024-12,1,115.0,11685.0
2024-12-29,1355.0,1370.0,1326.0,15268,20559002.2,204,29,12,6,0,0,2024,2024-12,52,232.0,12518.333333333334
2024-12-26,1344.0,1350.0,1320.0,13344,17697792.3,187,26,12,3,0,0,2024,2024-12,52,204.0,14764.0
2024-12-24,1352.0,1369.0,1326.0,14394,19409694.9,189,24,12,1,0,0,2024,2024-12,52,187.0,14335.333333333334
2024-12-23,1330.0,1340.0,1318.1,8929,11826341.4,132,23,12,0,0,0,2024,2024-12,52,189.0,12222.333333333334
2024-12-22,1322.9,1333.0,1300.0,6582,8699997.3,132,22,12,6,0,0,2024,2024-12,51,132.0,9968.333333333334
2024-12-19,1313.0,1355.0,1311.3,28802,38355081.8,240,19,12,3,0,0,2024,2024-12,51,132.0,14771.0
2024-12-18,1355.0,1370.0,1345.0,12958,17497570.4,110,18,12,2,0,0,2024,2024-12,51,240.0,16114.0
2024-12-17,1349.0,1375.0,1348.0,7185,9731931.4,143,17,12,1,0,0,2024,2024-12,51,110.0,16315.0
