business_date,close_price,high_price,low_price,total_traded_quantity,total_traded_value,total_trades,day,month,weekday,volume_class,anomaly_label,year,year_month,week,prev_total_trades,avg_traded_qty_3
2024-08-07,1645.0,1698.0,1575.0,116558,192179649.6,1453,7,8,2,1,0,2024,2024-08,32,1506.0,111523.66666666667
2024-08-06,1602.9,1816.0,1602.9,200293,337882552.2,2556,6,8,1,1,1,2024,2024-08,32,1453.0,148009.66666666666
2024-08-05,1781.0,1781.0,1631.0,163637,281425610.9,1864,5,8,0,1,1,2024,2024-08,32,2556.0,160162.66666666666
2024-08-01,1620.0,1729.0,1565.0,197986,325051566.0,2017,1,8,3,1,1,2024,2024-08,31,1864.0,187305.33333333334
2024-07-31,1640.0,1737.5,1580.0,144625,244384470.7,1485,31,7,2,1,0,2024,2024-07,31,2017.0,168749.33333333334
2024-07-30,1579.6,1580.5,1430.0,107565,163115374.0,1551,30,7,1,1,0,2024,2024-07,31,1485.0,150058.66666666666
2024-07-29,1436.9,1480.0,1350.0,145616,209591849.6,1542,29,7,0,1,0,2024,2024-07,31,1551.0,132602.0
2024-07-28,1354.1,1354.1,1230.5,212001,279707451.3,1484,28,7,6,1,1,2024,2024-07,30,1542.0,155060.66666666666
2024-07-25,1231.0,1297.0,1216.1,102097,126727699.4,1072,25,7,3,1,0,2024,2024-07,30,1484.0,153238.0
2024-07-24,1260.0,1305.5,1210.0,175829,223578627.4,1732,24,7,2,1,1,2024,2024-07,30,1072.0,163309.0
2024-07-23,1186.9,1186.9,1070.0,100641,116337645.3,878,23,7,1,1,0,2024,2024-07,30,1732.0,126189.0
2024-07-22,1079.0,1091.0,1058.0,84035,90094350.1,677,22,7,0,1,0,2024,2024-07,30,878.0,120168.33333333333
2024-07-21,1076.0,1100.0,1059.0,79354,85843138.3,815,21,7,6,1,0,2024,2024-07,29,677.0,88010.0
2024-07-18,1080.0,1119.0,1056.0,116913,127593009.4,980,18,7,3,1,0,2024,2024-07,29,815.0,93434.0
2024-07-17,1067.0,1078.0,1004.2,99977,104673219.9,762,17,7,2,1,0,2024,2024-07,29,980.0,98748.0
2024-07-16,1024.6,1045.0,1011.0,57867,59458226.2,537,16,7,1,1,0,2024,2024-07,29,762.0,91585.66666666667
2024-07-15,1013.0,1050.0,1012.0,87437,89468396.2,678,15,7,0,1,0,2024,2024-07,29,537.0,81760.33333333333
2024-07-14,1030.0,1080.0,1023.0,70746,73688773.2,619,14,7,6,1,0,2024,2024-07,28,678.0,72016.66666666667
2024-07-11,1020.0,1045.0,1014.0,76776,78456184.3,605,11,7,3,1,0,2024,2024-07,28,619.0,78319.66666666667
2024-07-10,1023.5,1033.8,989.0,148103,150899859.4,1206,10,7,2,1,0,2024,2024-07,28,605.0,98541.66666666667
2024-07-09,985.0,985.0,940.0,92026,89067447.4,682,9,7,1,1,0,2024,2024-07,28,1206.0,105635.0
2024-07-08,949.0,970.0,945.0,41376,39501592.4,396,8,7,0,1,0,2024,2024-07,28,682.0,93835.0
2024-07-07,960.0,969.0,930.0,91842,87671138.5,642,7,7,6,1,0,2024,2024-07,27,396.0,75081.33333333333
2024-07-04,927.0,949.0,926.0,38906,36321988.9,397,4,7,3,1,0,2024,2024-07,27,642.0,57374.666666666664
2024-07-03,925.0,933.8,916.0,17142,15823353.1,205,3,7,2,0,0,2024,2024-07,27,397.0,49296.666666666664
2024-07-02,933.0,970.0,924.0,46607,43662595.2,296,2,7,1,1,0,2024,2024-07,27,205.0,34218.333333333336
2024-07-01,924.0,932.0,913.2,20116,18595173.7,205,1,7,0,0,0,2024,2024-07,27,296.0,27955.0
2024-06-30,918.1,937.3,906.2,43495,40297255.5,278,30,6,6,1,0,2024,2024-06,26,205.0,36739.333333333336
